,age_in_years,job_description,marital_status,education_details,has_default,balance_in_account,housing_status,previous_loan,phone_type,date,month_of_year,call_duration,campaign_contacts,days_passed,previous_contact,poutcome_of_campaign,outcome
2320,40,management,married,tertiary,no,2487,no,no,cellular,30,apr,126,1,-1,0,unknown,yes
2321,39,blue-collar,married,secondary,no,0,yes,no,cellular,30,apr,53,1,325,1,failure,no
2322,28,student,single,secondary,no,20,no,no,telephone,30,apr,455,2,-1,0,unknown,no
2323,33,admin.,married,secondary,no,1737,no,no,cellular,30,apr,524,2,-1,0,unknown,yes
2324,29,management,married,secondary,no,231,no,no,cellular,30,apr,80,1,-1,0,unknown,no
2325,56,management,married,tertiary,no,616,no,no,cellular,30,apr,225,1,83,1,success,yes
2326,31,blue-collar,single,secondary,no,199,no,no,telephone,30,apr,110,1,-1,0,unknown,no
2327,58,management,married,tertiary,no,1907,no,no,cellular,30,apr,258,2,160,7,other,yes
2328,26,admin.,single,secondary,no,1327,no,no,cellular,30,apr,104,1,31,4,failure,no
2329,57,retired,married,tertiary,no,478,no,no,cellular,30,apr,70,1,84,1,failure,no
2330,55,management,divorced,tertiary,no,5399,no,yes,cellular,30,apr,124,1,28,3,failure,yes
2331,26,retired,single,secondary,no,530,no,no,cellular,30,apr,308,1,-1,0,unknown,yes
2332,28,unemployed,single,secondary,no,434,yes,no,cellular,30,apr,257,1,-1,0,unknown,no
2333,37,management,married,tertiary,no,5106,no,no,cellular,30,apr,244,1,-1,0,unknown,yes
2334,33,admin.,married,secondary,no,920,no,no,cellular,30,apr,344,1,-1,0,unknown,yes
2335,43,unemployed,divorced,secondary,no,1854,no,no,cellular,30,apr,323,1,-1,0,unknown,no
2336,35,admin.,single,tertiary,no,994,no,no,cellular,30,apr,400,1,87,2,failure,yes
2337,31,admin.,single,secondary,no,190,no,no,cellular,30,apr,514,1,-1,0,unknown,yes
2338,54,housemaid,married,secondary,yes,0,no,no,cellular,30,apr,103,3,-1,0,unknown,no
2339,26,technician,single,tertiary,no,2781,yes,no,cellular,30,apr,132,1,-1,0,unknown,yes
2340,60,retired,married,primary,no,7791,no,no,telephone,30,apr,141,1,-1,0,unknown,no
2341,30,technician,single,tertiary,no,1185,yes,no,cellular,30,apr,284,1,339,1,failure,yes
2342,57,admin.,married,secondary,no,169,no,no,cellular,30,apr,319,1,86,1,success,yes
2343,38,technician,single,tertiary,no,1101,no,no,cellular,30,apr,800,1,-1,0,unknown,yes
2344,36,self-employed,single,tertiary,no,0,yes,no,cellular,30,apr,204,1,-1,0,unknown,no
2345,33,blue-collar,single,unknown,no,129,yes,yes,cellular,30,apr,482,1,161,1,failure,no
2346,55,unknown,married,tertiary,no,3567,no,no,cellular,30,apr,85,1,-1,0,unknown,no
2347,29,management,single,tertiary,no,91,no,no,cellular,30,apr,99,1,274,4,other,no
2348,60,retired,married,unknown,no,209,no,no,cellular,30,apr,472,1,-1,0,unknown,no
2349,29,technician,single,tertiary,no,1669,no,no,cellular,30,apr,196,1,86,1,success,yes
2350,29,technician,married,tertiary,no,534,no,no,cellular,30,apr,452,2,-1,0,unknown,yes
2351,53,admin.,divorced,secondary,no,0,yes,yes,cellular,30,apr,586,2,-1,0,unknown,yes
2352,46,services,married,secondary,no,4,no,no,cellular,30,apr,268,1,261,5,other,no
2353,37,unemployed,married,tertiary,no,1851,no,no,cellular,30,apr,166,1,-1,0,unknown,yes
2354,42,management,married,tertiary,no,6060,yes,no,cellular,30,apr,316,1,350,2,failure,yes
2355,32,technician,single,tertiary,no,696,no,yes,cellular,30,apr,270,2,293,2,failure,yes
2356,31,management,married,tertiary,no,1812,no,no,cellular,30,apr,461,1,-1,0,unknown,yes
2357,34,management,married,tertiary,no,4859,no,no,cellular,30,apr,113,1,37,1,other,no
2358,33,management,married,tertiary,no,55,no,no,cellular,30,apr,526,2,87,3,failure,yes
2359,29,management,married,tertiary,no,125,no,no,cellular,30,apr,130,2,-1,0,unknown,no
2360,37,management,married,tertiary,no,630,no,no,cellular,30,apr,315,1,87,1,success,yes
2361,31,services,married,secondary,no,1422,no,no,cellular,30,apr,97,1,-1,0,unknown,no
2362,53,management,married,tertiary,no,1624,no,no,cellular,30,apr,284,3,84,3,success,yes
2363,23,management,single,tertiary,no,736,yes,no,cellular,30,apr,119,1,-1,0,unknown,yes
2364,53,services,married,secondary,no,341,no,no,cellular,30,apr,423,2,-1,0,unknown,yes
2365,32,technician,single,tertiary,no,4,yes,no,cellular,30,apr,311,1,-1,0,unknown,yes
2366,30,admin.,single,secondary,no,414,no,no,cellular,30,apr,64,1,-1,0,unknown,no
2367,45,technician,married,tertiary,no,31630,no,no,cellular,30,apr,209,1,-1,0,unknown,yes
2368,31,management,single,tertiary,no,2016,no,no,cellular,30,apr,209,1,-1,0,unknown,yes
2369,26,admin.,single,secondary,no,255,no,no,cellular,30,apr,457,1,80,1,success,yes
2370,31,technician,married,secondary,no,477,no,no,cellular,30,apr,146,1,-1,0,unknown,no
2371,30,technician,single,secondary,no,4684,yes,no,cellular,30,apr,268,3,-1,0,unknown,yes
2372,24,admin.,single,secondary,no,1052,no,no,cellular,30,apr,354,1,-1,0,unknown,yes
2373,33,management,single,tertiary,no,1431,no,no,cellular,30,apr,94,1,85,2,failure,no
2374,56,management,divorced,unknown,no,2986,no,no,cellular,30,apr,124,1,-1,0,unknown,no
2375,28,management,single,tertiary,no,1808,no,no,cellular,30,apr,309,1,-1,0,unknown,yes
2376,59,admin.,married,secondary,no,2381,no,no,cellular,30,apr,173,2,-1,0,unknown,yes
2377,20,student,single,secondary,no,502,no,no,cellular,30,apr,261,1,-1,0,unknown,yes
2378,28,blue-collar,married,secondary,no,4287,no,no,cellular,30,apr,171,1,-1,0,unknown,yes
2379,26,unemployed,single,tertiary,no,3511,no,no,cellular,30,apr,439,2,-1,0,unknown,yes
2380,35,technician,married,secondary,no,518,yes,no,cellular,30,apr,616,1,-1,0,unknown,no
2381,32,management,single,tertiary,no,796,no,yes,cellular,30,apr,198,1,160,1,failure,yes
2382,29,admin.,single,secondary,no,719,no,no,cellular,30,apr,76,1,-1,0,unknown,no
2383,28,technician,single,secondary,no,227,no,no,cellular,30,apr,278,1,-1,0,unknown,no
2384,58,retired,married,secondary,no,801,no,no,cellular,30,apr,249,1,85,1,other,yes
2385,32,management,married,tertiary,no,628,no,no,cellular,30,apr,280,1,-1,0,unknown,yes
2386,30,admin.,single,secondary,no,270,no,no,cellular,30,apr,437,1,80,1,success,yes
2387,25,admin.,single,secondary,no,483,no,yes,cellular,30,apr,68,1,86,1,success,no
2388,32,management,married,tertiary,no,4733,no,no,cellular,30,apr,532,1,-1,0,unknown,yes
2389,33,management,married,tertiary,no,2599,no,no,cellular,30,apr,1373,2,-1,0,unknown,yes
2390,36,self-employed,single,tertiary,no,351,no,no,cellular,30,apr,78,1,84,1,failure,no
2391,31,management,single,tertiary,no,0,yes,no,cellular,30,apr,97,2,87,2,other,no
2392,31,services,single,secondary,no,1599,no,no,cellular,30,apr,226,1,78,2,success,yes
2393,38,blue-collar,single,secondary,no,0,no,no,cellular,30,apr,102,1,-1,0,unknown,no
2394,32,admin.,divorced,secondary,no,4,yes,no,cellular,30,apr,48,1,-1,0,unknown,no
2395,29,technician,married,secondary,no,132,yes,yes,cellular,30,apr,88,1,-1,0,unknown,no
2396,38,housemaid,married,primary,no,196,no,no,cellular,30,apr,574,1,-1,0,unknown,yes
2397,52,self-employed,married,tertiary,no,6657,no,no,telephone,30,apr,917,1,-1,0,unknown,yes
2398,38,management,married,tertiary,no,613,no,no,cellular,30,apr,242,1,86,1,success,yes
2399,31,management,single,tertiary,no,2915,no,no,cellular,30,apr,228,1,86,1,failure,yes
2400,41,unemployed,divorced,primary,no,487,no,no,cellular,30,apr,157,1,-1,0,unknown,no
2401,34,self-employed,single,tertiary,no,5462,no,no,cellular,30,apr,430,1,-1,0,unknown,yes
2402,29,technician,single,secondary,no,674,no,no,cellular,30,apr,483,1,13,5,success,no
2403,26,student,single,tertiary,no,2,no,no,cellular,30,apr,120,2,-1,0,unknown,no
2404,55,management,single,tertiary,no,0,no,no,cellular,30,apr,156,3,-1,0,unknown,no
2405,58,retired,married,primary,no,2969,no,no,telephone,30,apr,130,1,-1,0,unknown,no
2406,30,management,single,tertiary,no,364,no,no,cellular,30,apr,306,2,-1,0,unknown,yes
2407,56,management,married,tertiary,no,746,no,no,cellular,30,apr,193,1,-1,0,unknown,yes
2408,37,management,married,tertiary,no,57,no,no,cellular,30,apr,96,2,84,1,success,no
2409,40,admin.,divorced,secondary,no,2129,no,no,cellular,30,apr,452,1,-1,0,unknown,yes
2410,23,technician,single,unknown,no,314,no,no,cellular,30,apr,666,1,-1,0,unknown,yes
2411,44,technician,married,tertiary,no,1818,yes,yes,cellular,30,apr,247,1,-1,0,unknown,yes
2412,31,services,single,secondary,no,181,no,no,cellular,30,apr,325,1,-1,0,unknown,no
2413,24,student,single,primary,no,474,no,no,cellular,30,apr,551,1,-1,0,unknown,yes
2414,25,management,single,tertiary,no,219,no,no,cellular,30,apr,458,1,-1,0,unknown,yes
2415,47,management,single,tertiary,no,86,no,no,cellular,30,apr,387,3,87,1,success,no
2416,34,self-employed,married,tertiary,no,442,yes,no,cellular,30,apr,69,1,164,2,other,no
2417,33,student,single,unknown,no,1170,no,no,cellular,30,apr,352,1,-1,0,unknown,no
2418,34,admin.,single,tertiary,no,18,yes,yes,cellular,30,apr,359,1,-1,0,unknown,no
2419,47,technician,married,secondary,no,0,yes,no,cellular,30,apr,81,1,164,1,failure,no
2420,36,technician,single,tertiary,no,197,no,no,cellular,30,apr,260,1,-1,0,unknown,yes
2421,25,technician,married,tertiary,no,400,no,no,cellular,30,apr,352,1,-1,0,unknown,yes
2422,50,management,married,tertiary,no,938,no,no,cellular,30,apr,780,1,-1,0,unknown,yes
2423,31,self-employed,single,tertiary,no,1815,no,no,telephone,30,apr,107,1,80,1,success,no
2424,34,management,single,tertiary,no,1228,no,no,cellular,30,apr,580,2,84,8,success,yes
2425,31,services,single,tertiary,no,620,no,no,cellular,30,apr,214,1,87,1,failure,yes
2426,54,technician,divorced,secondary,no,2156,yes,no,cellular,30,apr,258,1,86,5,success,no
2427,32,management,single,tertiary,no,566,no,no,cellular,30,apr,114,2,-1,0,unknown,yes
2428,38,management,divorced,secondary,no,257,yes,no,cellular,30,apr,435,1,-1,0,unknown,no
2429,53,blue-collar,married,secondary,no,6112,no,no,cellular,30,apr,211,1,86,1,success,yes
2430,56,retired,married,primary,no,1947,no,no,cellular,30,apr,441,2,-1,0,unknown,yes
2431,47,technician,married,tertiary,no,2408,no,no,cellular,30,apr,376,1,-1,0,unknown,yes
2432,31,admin.,married,secondary,no,35,no,no,cellular,30,apr,615,1,-1,0,unknown,yes
2433,36,management,married,tertiary,no,393,yes,no,cellular,30,apr,555,2,-1,0,unknown,yes
2434,58,unemployed,married,secondary,no,687,yes,no,cellular,30,apr,341,2,-1,0,unknown,yes
2435,25,student,single,secondary,no,2354,no,no,cellular,30,apr,149,1,84,7,success,no
2436,35,services,married,unknown,no,618,no,no,cellular,30,apr,951,1,-1,0,unknown,yes
2437,43,blue-collar,married,secondary,no,2105,no,no,telephone,30,apr,93,2,-1,0,unknown,no
2438,28,student,single,tertiary,no,3054,no,no,cellular,30,apr,384,1,80,6,other,yes
2439,53,unemployed,married,primary,no,142,no,no,cellular,30,apr,168,2,-1,0,unknown,no
2440,25,student,single,secondary,no,1608,no,no,cellular,30,apr,664,2,-1,0,unknown,yes
2441,51,management,single,tertiary,no,5341,no,no,cellular,30,apr,184,2,-1,0,unknown,yes
2442,52,blue-collar,married,secondary,no,1319,no,no,telephone,30,apr,37,2,-1,0,unknown,no
2443,57,housemaid,divorced,unknown,no,11632,no,no,telephone,30,apr,71,2,-1,0,unknown,no
2444,43,unemployed,married,secondary,no,775,no,no,cellular,30,apr,488,1,-1,0,unknown,no
2445,41,entrepreneur,married,secondary,no,30,no,no,cellular,30,apr,460,1,-1,0,unknown,no
2446,46,management,married,tertiary,no,699,no,no,cellular,30,apr,970,1,87,1,failure,yes
2447,27,blue-collar,single,primary,no,3342,yes,no,cellular,30,apr,761,2,330,4,failure,yes
2448,35,management,married,tertiary,no,495,no,no,cellular,30,apr,266,1,87,1,failure,yes
2449,49,entrepreneur,single,secondary,no,5802,no,no,cellular,30,apr,618,2,-1,0,unknown,yes
2450,23,technician,single,secondary,no,598,no,no,cellular,30,apr,166,1,-1,0,unknown,yes
2451,58,blue-collar,married,unknown,no,3585,no,no,cellular,30,apr,122,1,167,1,success,no
2452,47,blue-collar,married,primary,no,2749,yes,no,cellular,30,apr,774,2,164,1,failure,yes
2453,25,management,single,tertiary,no,436,no,no,cellular,30,apr,132,2,-1,0,unknown,yes
2454,54,management,married,unknown,no,527,yes,no,cellular,30,apr,112,1,281,3,failure,no
2455,26,student,single,unknown,no,2503,no,no,cellular,30,apr,121,1,63,2,failure,no
2456,35,management,single,tertiary,no,1162,no,no,cellular,30,apr,175,1,-1,0,unknown,yes
2457,30,technician,single,unknown,no,766,no,no,cellular,30,apr,296,1,-1,0,unknown,yes
2458,34,management,married,tertiary,no,0,yes,no,cellular,30,apr,300,1,86,1,success,yes
2459,30,technician,married,secondary,no,776,no,no,cellular,30,apr,861,2,-1,0,unknown,yes
2460,54,management,married,tertiary,no,1014,no,yes,cellular,30,apr,240,1,162,2,failure,yes
2461,58,retired,married,secondary,no,919,yes,yes,cellular,30,apr,329,2,346,2,failure,yes
2462,49,admin.,single,unknown,no,1226,no,no,cellular,30,apr,400,1,-1,0,unknown,no
2463,38,technician,married,secondary,no,865,yes,no,cellular,30,apr,503,3,-1,0,unknown,yes
2464,31,management,single,tertiary,no,1619,no,no,cellular,30,apr,327,2,-1,0,unknown,yes
2465,49,blue-collar,married,secondary,no,298,yes,no,cellular,30,apr,264,2,86,3,failure,yes
2466,57,admin.,married,primary,no,1119,no,no,cellular,30,apr,176,2,-1,0,unknown,yes
2467,30,blue-collar,married,secondary,no,4389,yes,no,cellular,30,apr,82,6,-1,0,unknown,no
2468,41,admin.,married,primary,no,1316,yes,no,cellular,30,apr,127,3,-1,0,unknown,no
2469,39,housemaid,married,tertiary,no,2990,no,no,telephone,30,apr,127,4,-1,0,unknown,no
2470,44,blue-collar,married,secondary,no,630,no,no,cellular,30,apr,192,2,-1,0,unknown,yes
2471,30,student,single,secondary,no,25,no,no,telephone,30,apr,44,1,-1,0,unknown,no
2472,70,technician,married,secondary,no,3020,no,no,telephone,30,apr,56,1,-1,0,unknown,no
2473,35,management,married,tertiary,no,71,yes,no,cellular,30,apr,510,2,-1,0,unknown,yes
2474,55,admin.,married,secondary,no,139,no,no,cellular,30,apr,241,1,-1,0,unknown,no
2475,30,management,single,tertiary,no,620,yes,no,cellular,30,apr,513,1,-1,0,unknown,yes
2476,25,admin.,single,secondary,no,2816,no,no,cellular,30,apr,327,1,-1,0,unknown,yes
2477,47,blue-collar,married,secondary,no,2173,yes,no,cellular,30,apr,189,3,344,5,failure,no
2478,26,technician,single,secondary,no,507,no,no,cellular,30,apr,380,1,-1,0,unknown,yes
2479,85,retired,married,primary,no,98,no,no,cellular,30,apr,416,1,-1,0,unknown,yes
2480,39,management,married,tertiary,no,4539,no,no,cellular,30,apr,301,1,-1,0,unknown,yes
2481,46,technician,married,unknown,no,3914,yes,no,cellular,30,apr,247,1,-1,0,unknown,yes
2482,34,management,married,tertiary,no,-308,yes,no,cellular,30,apr,140,2,-1,0,unknown,no
2483,34,student,single,unknown,no,1281,no,no,cellular,30,apr,109,1,-1,0,unknown,no
2484,35,technician,married,secondary,no,-288,yes,yes,cellular,30,apr,126,3,-1,0,unknown,no
2485,25,technician,single,secondary,no,1105,yes,no,cellular,30,apr,195,1,13,1,failure,yes
2486,55,blue-collar,married,primary,no,3297,yes,yes,telephone,30,apr,96,1,-1,0,unknown,no
2487,35,admin.,single,secondary,no,206,yes,no,cellular,30,apr,144,2,-1,0,unknown,yes
2488,45,admin.,married,secondary,no,1435,yes,no,cellular,30,apr,257,1,-1,0,unknown,yes
2489,59,housemaid,married,primary,no,182,no,no,cellular,30,apr,92,1,86,1,failure,no
2490,33,services,married,secondary,no,478,no,no,cellular,30,apr,475,2,-1,0,unknown,yes
2491,30,technician,married,secondary,no,1660,yes,no,cellular,30,apr,236,1,-1,0,unknown,yes
2492,36,management,married,tertiary,no,2957,yes,yes,cellular,30,apr,193,2,265,3,success,yes
2493,29,management,single,tertiary,no,2753,no,no,cellular,30,apr,645,1,-1,0,unknown,yes
2494,39,management,married,tertiary,no,0,no,no,cellular,30,apr,342,3,22,3,other,no
2495,45,technician,married,secondary,no,89,yes,no,cellular,30,apr,73,2,350,2,failure,no
2496,33,blue-collar,single,secondary,no,498,no,no,cellular,30,apr,301,1,-1,0,unknown,yes
2497,38,technician,single,secondary,no,565,yes,no,cellular,30,apr,1143,1,-1,0,unknown,yes
2498,33,blue-collar,single,tertiary,no,700,no,no,cellular,30,apr,169,1,80,2,success,yes
2499,58,management,married,tertiary,no,4152,yes,no,cellular,30,apr,750,2,164,4,other,yes
2500,32,management,single,tertiary,no,697,no,no,cellular,30,apr,210,3,-1,0,unknown,yes
2501,61,retired,divorced,secondary,no,927,no,no,cellular,30,apr,427,3,-1,0,unknown,yes
2502,32,management,single,tertiary,no,0,yes,no,cellular,30,apr,370,3,-1,0,unknown,no
2503,35,admin.,married,tertiary,no,286,no,no,cellular,30,apr,949,2,-1,0,unknown,yes
2504,32,management,married,tertiary,no,1388,yes,no,cellular,30,apr,753,1,-1,0,unknown,yes
2505,41,management,married,tertiary,no,27696,no,no,cellular,30,apr,108,1,-1,0,unknown,no
2506,29,management,married,tertiary,no,30,no,no,cellular,30,apr,139,1,-1,0,unknown,no
2507,29,unemployed,single,secondary,no,486,no,no,telephone,30,apr,95,1,-1,0,unknown,no
2508,50,admin.,single,secondary,no,2252,no,no,cellular,30,apr,652,2,-1,0,unknown,yes
2509,31,technician,single,tertiary,no,454,no,no,cellular,30,apr,266,1,-1,0,unknown,yes
2510,31,admin.,single,tertiary,no,4041,no,no,cellular,30,apr,1034,2,-1,0,unknown,yes
2511,54,technician,married,secondary,no,0,no,no,telephone,30,apr,766,3,84,3,success,yes
2512,33,technician,married,tertiary,no,0,no,no,cellular,30,apr,227,2,-1,0,unknown,no
2513,48,management,married,secondary,no,36686,no,no,cellular,30,apr,295,1,-1,0,unknown,yes
2514,36,admin.,single,secondary,no,728,no,no,cellular,30,apr,230,1,-1,0,unknown,yes
2515,31,management,single,tertiary,no,354,no,no,cellular,30,apr,502,1,9,2,success,no
2516,32,technician,single,tertiary,no,1246,yes,no,cellular,30,apr,509,1,85,2,success,yes
2517,28,services,single,primary,no,307,no,no,cellular,30,apr,132,1,-1,0,unknown,no
2518,34,management,married,tertiary,no,3047,no,no,cellular,30,apr,317,1,160,5,other,yes
2519,49,housemaid,divorced,secondary,no,0,no,no,telephone,30,apr,136,2,-1,0,unknown,no
2520,24,student,single,secondary,no,382,no,no,cellular,30,apr,567,2,-1,0,unknown,yes
2521,29,management,single,tertiary,no,36252,yes,no,cellular,30,apr,501,1,-1,0,unknown,yes
2522,27,admin.,married,tertiary,no,73,no,no,cellular,30,apr,374,1,79,1,success,yes
2523,40,management,married,tertiary,no,158,no,no,telephone,30,apr,712,2,-1,0,unknown,yes
2524,26,self-employed,single,tertiary,no,553,no,no,cellular,30,apr,347,3,-1,0,unknown,yes
2525,28,self-employed,single,secondary,no,68,no,no,cellular,30,apr,157,1,-1,0,unknown,no
2526,29,blue-collar,single,secondary,no,734,yes,yes,cellular,30,apr,259,1,296,1,other,yes
2527,30,admin.,single,tertiary,no,305,no,no,cellular,30,apr,633,1,85,2,success,yes
2528,24,student,single,secondary,no,160,no,no,cellular,4,may,109,2,-1,0,unknown,yes
2529,33,self-employed,married,tertiary,no,263,no,no,cellular,4,may,119,2,-1,0,unknown,yes
2530,57,management,married,tertiary,no,350,no,no,telephone,4,may,87,3,-1,0,unknown,no
2531,31,student,single,tertiary,no,0,no,no,cellular,4,may,47,2,-1,0,unknown,yes
2532,26,self-employed,married,tertiary,no,219,no,no,cellular,4,may,104,5,-1,0,unknown,yes
2533,45,blue-collar,married,secondary,no,10252,no,no,cellular,4,may,675,2,-1,0,unknown,yes
2534,37,technician,single,tertiary,no,6101,no,no,cellular,4,may,60,5,87,1,success,yes
2535,37,management,single,tertiary,no,3141,no,no,cellular,4,may,384,2,-1,0,unknown,yes
2536,29,student,single,secondary,no,1854,no,no,telephone,4,may,390,3,-1,0,unknown,no
2537,36,technician,single,secondary,no,1228,yes,no,cellular,4,may,303,3,-1,0,unknown,yes
2538,52,management,married,tertiary,no,1356,yes,no,cellular,4,may,312,2,-1,0,unknown,yes
2539,60,blue-collar,married,primary,no,1723,no,no,cellular,4,may,160,4,83,3,failure,yes
2540,27,student,single,unknown,no,1444,no,no,cellular,4,may,130,1,91,2,failure,no
2541,27,technician,single,secondary,no,1511,yes,no,cellular,4,may,74,1,-1,0,unknown,no
2542,40,management,married,tertiary,no,7780,no,no,telephone,4,may,364,1,355,1,other,no
2543,36,management,married,tertiary,no,130,no,no,cellular,4,may,65,1,-1,0,unknown,yes
2544,40,technician,single,tertiary,no,1646,yes,no,cellular,4,may,392,2,91,3,success,yes
2545,50,management,single,unknown,no,1277,no,no,cellular,4,may,63,1,-1,0,unknown,no
2546,34,management,single,tertiary,no,1058,yes,no,cellular,4,may,240,1,-1,0,unknown,yes
2547,28,unemployed,single,primary,no,236,no,no,cellular,4,may,193,1,87,3,failure,yes
2548,33,management,single,tertiary,no,5437,no,no,cellular,4,may,267,1,91,1,failure,yes
2549,31,services,single,secondary,no,125,no,no,cellular,4,may,200,1,91,1,failure,yes
2550,33,technician,married,secondary,no,133,no,no,cellular,4,may,218,1,-1,0,unknown,yes
2551,56,management,married,tertiary,no,2333,no,no,cellular,4,may,244,1,-1,0,unknown,yes
2552,46,management,married,tertiary,no,1446,no,no,cellular,4,may,359,1,-1,0,unknown,yes
2553,34,technician,single,tertiary,no,992,yes,no,cellular,4,may,301,1,88,2,success,yes
2554,39,admin.,married,secondary,no,140,no,no,cellular,4,may,40,5,-1,0,unknown,no
2555,20,student,married,unknown,no,292,no,no,cellular,4,may,45,1,-1,0,unknown,no
2556,45,blue-collar,married,secondary,no,640,yes,no,cellular,4,may,447,1,-1,0,unknown,yes
2557,33,management,single,tertiary,no,417,yes,no,cellular,4,may,170,2,87,1,failure,yes
2558,50,management,divorced,tertiary,no,1270,yes,no,cellular,4,may,24,3,-1,0,unknown,yes
2559,25,student,single,tertiary,no,253,no,no,cellular,4,may,597,1,-1,0,unknown,yes
2560,41,blue-collar,married,secondary,no,5060,no,no,cellular,4,may,963,1,83,3,success,yes
2561,38,technician,divorced,secondary,no,902,yes,no,cellular,4,may,301,3,90,1,success,yes
2562,47,technician,married,secondary,no,335,no,no,cellular,4,may,417,1,76,1,success,yes
2563,60,admin.,divorced,secondary,no,4519,no,no,cellular,4,may,136,1,91,1,failure,yes
2564,49,management,married,tertiary,no,1,no,no,telephone,4,may,1076,3,175,1,success,yes
2565,34,management,single,tertiary,no,14,yes,no,telephone,4,may,47,1,-1,0,unknown,no
2566,36,services,single,secondary,no,365,no,no,cellular,4,may,643,1,-1,0,unknown,yes
2567,36,technician,married,tertiary,no,911,yes,yes,cellular,4,may,275,3,-1,0,unknown,yes
2568,37,entrepreneur,single,secondary,no,20453,yes,no,telephone,4,may,115,1,-1,0,unknown,no
2569,42,admin.,single,secondary,no,1451,yes,no,cellular,4,may,251,4,-1,0,unknown,yes
2570,24,student,single,unknown,no,0,no,no,cellular,4,may,90,2,-1,0,unknown,yes
2571,33,technician,single,tertiary,no,1636,yes,no,cellular,4,may,592,1,66,1,success,yes
2572,26,services,single,secondary,no,256,yes,no,cellular,4,may,101,2,-1,0,unknown,yes
2573,49,admin.,married,secondary,no,3620,no,no,cellular,4,may,346,2,-1,0,unknown,yes
2574,25,services,single,secondary,no,642,yes,yes,cellular,4,may,364,2,-1,0,unknown,yes
2575,40,blue-collar,married,primary,no,-388,yes,no,cellular,4,may,195,3,340,1,failure,no
2576,36,admin.,married,tertiary,no,3221,no,no,cellular,4,may,322,11,-1,0,unknown,yes
2577,28,blue-collar,single,tertiary,no,1984,yes,no,cellular,4,may,32,2,14,1,failure,yes
2578,31,management,single,tertiary,no,630,no,no,cellular,4,may,95,2,91,2,failure,yes
2579,30,management,single,tertiary,no,220,yes,no,cellular,4,may,233,2,-1,0,unknown,yes
2580,44,blue-collar,single,secondary,no,0,yes,no,cellular,4,may,64,2,19,1,failure,no
2581,52,unemployed,married,secondary,no,94,no,no,cellular,4,may,223,9,4,1,success,no
2582,33,admin.,married,tertiary,no,69,no,yes,cellular,4,may,77,2,-1,0,unknown,no
2583,22,admin.,single,tertiary,no,897,yes,no,cellular,4,may,98,4,89,4,success,yes
2584,60,housemaid,married,primary,no,2580,no,no,telephone,4,may,15,5,-1,0,unknown,no
2585,60,technician,married,secondary,no,316,no,no,cellular,4,may,545,2,263,4,failure,yes
2586,33,technician,married,secondary,no,2044,yes,no,cellular,4,may,532,3,-1,0,unknown,yes
2587,29,services,single,tertiary,no,8947,yes,no,cellular,4,may,535,2,-1,0,unknown,yes
2588,39,services,married,secondary,no,8876,no,no,cellular,4,may,106,1,91,2,failure,yes
2589,32,student,single,tertiary,no,214,no,no,cellular,4,may,117,1,-1,0,unknown,yes
2590,28,management,single,tertiary,no,672,no,no,cellular,4,may,174,1,-1,0,unknown,yes
2591,45,services,married,tertiary,no,4958,no,no,cellular,4,may,212,4,-1,0,unknown,yes
2592,33,technician,married,secondary,no,557,no,no,cellular,4,may,367,1,-1,0,unknown,yes
2593,35,unemployed,married,secondary,no,977,yes,no,cellular,4,may,52,4,91,1,other,no
2594,33,services,single,secondary,no,489,yes,no,cellular,4,may,297,4,334,1,other,yes
2595,67,retired,married,unknown,no,696,no,no,telephone,4,may,77,2,-1,0,unknown,no
2596,57,admin.,single,secondary,no,738,no,no,cellular,4,may,490,3,168,1,failure,yes
2597,32,student,single,tertiary,no,1138,no,no,cellular,4,may,214,3,83,3,success,yes
2598,44,blue-collar,married,secondary,no,4236,yes,no,cellular,4,may,378,3,-1,0,unknown,yes
2599,49,management,married,tertiary,no,1,yes,no,cellular,4,may,7,4,-1,0,unknown,no
2600,48,blue-collar,married,secondary,no,863,yes,no,telephone,4,may,412,5,350,2,success,yes
2601,28,student,single,secondary,no,891,no,no,telephone,4,may,34,6,-1,0,unknown,no
2602,48,management,divorced,tertiary,no,428,yes,no,cellular,4,may,347,2,167,2,failure,yes
2603,49,blue-collar,married,primary,no,1133,yes,no,cellular,4,may,291,3,-1,0,unknown,yes
2604,39,admin.,married,secondary,no,563,yes,no,cellular,4,may,190,3,-1,0,unknown,yes
2605,35,technician,single,secondary,no,5731,yes,no,cellular,4,may,164,2,167,4,other,yes
2606,28,admin.,single,secondary,no,1842,yes,no,cellular,4,may,92,2,-1,0,unknown,yes
2607,34,management,single,tertiary,no,2187,yes,no,cellular,4,may,26,5,-1,0,unknown,yes
2608,28,blue-collar,married,primary,no,-65,yes,no,cellular,4,may,90,4,-1,0,unknown,no
2609,47,management,married,secondary,no,2010,no,no,telephone,4,may,222,6,-1,0,unknown,no
2610,42,management,single,tertiary,no,10907,no,no,cellular,4,may,74,3,-1,0,unknown,yes
2611,31,management,single,tertiary,no,6495,no,no,cellular,4,may,383,2,35,3,failure,yes
2612,26,admin.,single,secondary,no,160,no,yes,cellular,4,may,172,2,-1,0,unknown,yes
2613,41,admin.,married,tertiary,no,1536,no,no,cellular,4,may,54,2,-1,0,unknown,yes
2614,44,admin.,married,secondary,no,10354,no,no,telephone,4,may,96,1,-1,0,unknown,no
